master_id,L_CODE,E_CODE,E_NAME,L_NAME,CDS_DBF,EQPT_DBF,OPEN_DT,SCL_PREPAR,NO_EQPT,FIN_YEAR,D_TYPE,JOB_NO1,JOB_DT1,JOB_QT1,MT_LP1,ENGR_LP1,ORD_LP1,JOB_NO2,JOB_DT2,JOB_QT2,MT_LP2,ENGR_LP2,ORD_LP2,JOB_NO3,JOB_DT3,JOB_QT3,MT_LP3,ENGR_LP3,ORD_LP3,JOB_NO4,JOB_DT4,JOB_QT4,MT_LP4,ENGR_LP4,ORD_LP4,JOB_NO5,JOB_DT5,JOB_QT5,MT_LP5,ENGR_LP5,ORD_LP5,JOB_NO6,JOB_DT6,JOB_QT6,MT_LP6,ENGR_LP6,ORD_LP6,JOB_NO7,JOB_DT7,JOB_QT7,MT_LP7,ENGR_LP7,ORD_LP7,JOB_NO8,JOB_DT8,JOB_QT8,MT_LP8,ENGR_LP8,ORD_LP8,LOCK_DT1,LOCK_DT2,LOCK_DT3,LOCK_DT4,LOCK_DT5,LOCK_DT6,LOCK_DT7,LOCK_DT8,OPT,GROUP,S_CODE,F_HEAD,NEW_CDS,ACT,Ledger_code,eqpt_code
71,23,84,Scania Engine,SCANIA,SCAN_ENG,SCAN_ENG3,2018-08-23,,5,,BE,88,2018-05-16,1,,,,89,2018-05-16,1,,,,99,2018-05-24,1,,,,,,0,0,0,0,,,0,0,0,0,,,0,,,,247,2018-09-13,1,,,,293,2018-11-15,1,,,,,,,,,,,,0,SCAN_CDS,06,MT,Y,,23,84
71,23,84,Scania Chassis,SCANIA,SCAN_CH,SCAN_CH2,2018-08-24,,6,,BC,178,2018-07-12,1,,,,177,0208-07-12,1,,,,176,2018-07-12,1,,,,175,2018-07-12,1,,,,152,2018-06-22,1,,,,109,2017-08-05,1,,,,,,,,,,,,,,,,,,,,,,,,0,SCAN CDS,06,MT,Y,,23,84
86,88,99,SKID STEER LOADER,SKIDSTER,SSL_CH,SSL_CH1,2018-08-24,,6,,CE,229,2013-11-11,1,,,,63,2016-06-21,1,,,,175,2016-07-21,1,,,,49,2018-04-16,1,,,,57,2018-04-16,1,,,,59,2018-04-25,1,0,0,0,,,,,,,,,,,,,,,,,,,,,0,ENGR CDS,02,ENGR,Y,Y,88,99
58,69,71,TATAJD ENG,TATAJDEN,TATAJD_EN,TATAJD_EN1,2018-08-25,,7,,CE,02,2018-04-04,1,,,,08,2018-04-04,1,,,,10,2018-04-04,1,,,,12,2018-04-04,1,,,,52,2018-04-16,1,,,,54,2018-04-16,1,,,,56,2018-04-16,1,,,,,,,,,,,,,,,,,,0,ENGR CDS,02,MT,Y,Y,69,71
86,88,99,SKID S/LOAD,SKIDSTER,SSL_ENG,SSL_ENG1,2018-08-25,,6,,CC,156,2015-09-17,1,,,,64,2016-06-21,1,,,,176,2016-07-21,1,,,,50,2018-04-16,1,,,,58,2018-04-16,1,,,,60,2018-04-25,1,,,,301,2018-12-04,1,,,,,,,,,,,,,,,,,,0,ENGR CDS,02,ENGR,Y,Y,88,99
37,48,48,JCB 3DX ENG,JCB3DX,JCB_ENG,JCB_ENG1,2018-08-25,,3,,CE,41,2016-05-10,1,,,,04,2018-04-04,1,,,,06,2018-04-04,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,ENGR CDS,02,ENGR,Y,Y,48,48
73,75,85,GREAVES ENG,GREAVES,GREAVE_EN,GREAVE_EN1,2018-08-28,,12,,CE,391,2016-03-07,3,,,,275,2016-09-22,4,,,,276,2016-09-21,1,,,,278,2016-09-22,1,,,,279,2016-09-22,1,,,,280,2016-09-22,1,,,,271,2016-01-13,1,,,,,,,,,,,,,,,,,,0,75,03,MT,Y,Y,75,85
71,23,84,Scania Brake Booster,SCANIA,BR_BOOST,BR_BOOSTER,2018-09-01,,13,,,225,2018-09-01,11,,,,246,2018-09-13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,SCANIA,06,MT,Y,Y,23,84
71,23,84,Scania Chassis,SCANIA,SCAN_CH,SCAN_CH3,2018-09-06,,8,,,179,2018-07-10,1,,,,180,2018-07-13,1,,,,181,2018-07-13,1,,,,254,2018-10-01,1,,,,272,2018-10-26,1,,,,279,2018-10-31,1,,,,280,2018-10-31,1,,,,281,2018-10-31,1,,,,,,,,,,,,0,SCAN CDS,06,MT,Y,,23,84
93,T5,T5,TATA  TIPPER,TIPP_CH,TTIP_CH,TATA_TIP1,2018-09-06,,1,,,14,2017-05-12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,CDS T/TIPP,08,MT,Y,Y,T5,T5
75,77,87,CHICAGO ENG,CHICAENG,CHIC_ENG,CHICAGOENG,2018-09-07,,1,,,35,2016-05-10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,WHEEL AND,02,ENGR,Y,Y,77,87
76,62,88,AC PERKINS,AC_PERK,AC_PERK,AC_PERKIN,2018-09-07,,1,,,63,2018-04-26,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,WATER PUMP,02,ENGR,Y,,62,88
91,T3,T3,T815 6X6 Tatra Ch,T6X6CH,T815_CH,T815_CH1,2018-09-08,,2,,,224,2018-01-06,1,,,,249,2018-09-13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,KRAZ CDS,07,MT,Y,Y,T3,T3
94,T6,T6,TATA TIPPER ENG,TIPP_EN,TTIP_ENG,TATATP_ENG,2018-09-08,,1,,,43,2018-04-13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,ENGR CDS,08,MT,Y,Y,T6,T6
54,67,67,OBM MARINER 30,OBMMARIN,OBM_MAR30,MARINER_CH,2018-09-20,,7,,,68,2018-05-10,1,,,,69,2018-05-10,1,,,,211,2018-07-26,3,,,,212,2018-07-26,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,ENGR CDS,02,ENGR,Y,Y,67,67
76,62,88,AC PERKINS,AC_PERK,AC_PERK,ACPERKINS,2018-09-28,,4,,,95,2018-05-24,1,,,,152,2017-09-12,1,,,,,,0,,,,134,2018-06-07,1,,,,63,2018-04-26,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,ENGR CDS,02,ENGR,Y,Y,62,88
,,,UNIT,,,U271018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,18,35,OBM 115 HP,OBM35,OBM_115HP,OBM115HP,2018-10-29,,4,,,407,2014-02-12,2,,,,345,2016-02-18,1,,,,485,2016-12-07,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,OBM115,02,ENGR,Y,Y,,
73,75,85,GREAVES ENG,GREAVES,GREAVE_EN,GREAVE_EN2,2018-10-30,,5,,,280,2016-09-22,1,,,,281,2016-09-22,1,,,,468,2016-11-29,1,,,,469,2016-11-29,1,,,,171,2018-07-02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,ERG,03,ENGR,Y,,75,85
,,,UNIT,,,U061118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,UNIT,,,U061118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,UNIT,,,U061118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,UNIT,,,U101118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,UNIT,,,U101118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,UNIT,,,U101118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
92,T4,T4,T815 6X6 Eng,T6X6ENG,TATRAENG,TATRA_ENG,2018-11-15,,2,,,283,2018-11-05,1,,,,284,2018-11-05,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,T4,07,MT,Y,Y,T4,T4
71,23,84,Scania Engine,SCANIA,SCAN_ENG,SCAN_ENG4,2018-11-17,,7,,,285,2018-11-12,1,,,,286,2018-11-12,1,,,,287,2018-11-12,1,,,,288,2018-11-12,1,,,,289,2018-11-12,1,,,,290,2018-11-13,1,,,,291,2018-11-13,1,,,,,,,,,,,,,,,,,,0,ERG,06,MT,Y,,23,84
97,A1,A1,AC CHICAGO 260 HD,AC_PERK,CHIC_CH,CHICAGO_CH,2018-11-19,,1,,,61,2018-04-26,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,ENGR EQPT,02,ENGR,Y,Y,A1,A1
12,17,17,OBM JHONSON 30,OBM30,OBM_J30HP,JHON_30HP,2018-11-21,,3,,,221,2018-07-30,1,,,,222,2018-07-30,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,ENGR EQPT,02,ENGR,Y,Y,17,17
86,88,99,SKID STEER LOADER,SKIDSTER,SSL_CH,SSL_CH2,2018-12-09,,3,,,300,2018-12-04,1,,,,302,2018-12-04,1,,,,304,2018-12-04,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,ENGR CDS,02,ENGR,Y,,88,99
,75,xx,SKID S/LOAD,GREAVES,SSL_ENG,SSL_ENG2,2018-12-12,,0,,,301,2018-12-04,1,,,,303,2018-12-04,1,,,,305,2018-12-04,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,OIL LINE,03,MT,Y,,,
54,67,67,UNIT ISSUE,OBMMARIN,UNIT_ISS,,2018-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,UNIT,,ENGR,Y,Y,67,67
29,38,38,D80 A12 Engine,D80ENG,D80_ENG,,2019-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,ENGR EQPT,,MT,Y,Y,38,38
71,23,84,Scania Gear Box (DR),SCANIA,SCAN_GBOX,,2019-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,SCANIA,,MT,Y,Y,23,84
20,28,28,KRAZ260,K260CH,K260ENG,,2019-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,ERG,,ENGR,Y,Y,28,28
79,80,91,BD50_CH,BD50A15C,BD50A15,,2019-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,ENGR EQPT,,ENGR,Y,Y,80,91
79,80,91,BD50_A15,BD50A15C,BD50_CH,,2019-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,ENGR,,ENGR,Y,Y,80,91
36,47,47,MEDIR BRIGDE,MISC,MG_BRG,,2019-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,ENGR CDS,,MT,Y,Y,47,47
28,37,37,D80-A12,D80CH,D80A12_CH,,2019-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,ENGR EQPT,,ENGR,Y,Y,37,37
99,S1,S1,STRELLA10M,STREL LA,STRELLA,,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,ERG,,MT,Y,Y,S1,S1
