L_CODE,E_CODE,E_NAME,DEM_NO,DEM_DT,SCL_PREPAR,NO_EQPT,FIN_YEAR,D_TYPE,N1,N2,N3,N4,N5,N6,N7,N8,N9,D_LOCK,YN,JOB_NO,JOB_DT,CTRL_NO,CTRL_DT,OPT,DEM,FULL_RECD,PART_RECD,OUTS,PER_RECD,DEP_DELE,IN_IIL,IN_CVIL,CRITICAL,CTRL_NA,VED,VED_FULL,VED_PART,VED_OUTS,VED_PER,VED_DELE,VED_IIL,VED_CVIL,VED_CRI,VED_CTRLNA,CONS_FM,CONS_TO,CONS_EQPT,LAST_SOUPD,DEMD,FULL_RECDD,PART_RECDD,OUTSD,DEP_DELED,IN_IILD,IN_CVILD,CRITICALD,CTRL_NAD,VEDD,VED_FULLD,VED_PARTD,VED_OUTSD,VED_DELED,VED_IILD,VED_CVILD,VED_CRID,VED_CTLNAD
33,33,MG 605 CH,8,2005-05-10,,,2005-200,SPD,25.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0,4.0,,Y,,,G/FD/11,2005-05-27,0,25,2,0,23,8.0,0,0,0,0,25,15,2,0,13,13.33,0,0,0,0,15,,,,,,,,,,,,,,,,,,,,,,
,,OBM110,80,2005-03-18,,,2004-2005,SPD,38.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,,Y,,,,,0,38,0,0,38,0.0,0,0,0,0,38,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
43,43,G14D1 CH,9,2005-05-16,,,2005-2006,SPD,24.0,0.0,0.0,0.0,0.0,12.0,1.0,11.0,50.0,,Y,,,,,0,24,13,1,11,54.17,0,0,0,0,24,4,1,1,2,25.0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,
,,UNKNOWN DEM,NK,2005-06-16,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Y,,,,,0,1277,770,33,507,60.3,0,0,0,0,1277,0,0,0,0,0.0,0,0,0,0,0,,,,2018-03-30,,,,,,,,,,,,,,,,,,
33,33,MG 605 CH*,16,2005-07-03,,,2005-2006,SPD,118.0,0.0,0.0,0.0,0.0,24.0,5.0,89.0,20.34,,Y,20,2005-04-12,,,0,118,29,5,89,24.58,0,0,0,0,118,71,16,2,55,22.54,0,0,0,0,71,,,,,,,,,,,,,,,,,,,,,,
39,39,D50-A15 CH,19,2005-07-05,,,2005-2006,SPD,87.0,0.0,0.0,0.0,0.0,8.0,3.0,76.0,9.2,,Y,70,2005-05-09,,,0,87,20,3,67,22.99,0,0,0,0,87,65,15,3,47,23.08,0,0,0,0,65,,,,,,,,,,,,,,,,,,,,,,
39,39,D50-A15 CH,20,2005-07-05,,,2005-2006,SPD,107.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,,Y,70,2005-05-09,,,0,107,2,0,105,1.87,0,0,0,0,107,78,1,0,77,1.28,0,0,0,0,78,,,,,,,,,,,,,,,,,,,,,,
43,44,G14D1 ENG,21,2005-07-07,,,2005-2006,SPD,36.0,0.0,0.0,0.0,0.0,6.0,0.0,30.0,16.67,,Y,86,2005-05-16,,,0,36,9,0,27,25.0,0,0,0,0,36,0,0,0,0,0.0,0,0,0,0,0,,,,2012-09-28,,,,,,,,,,,,,,,,,,
43,44,G14D1 ENG,22,2005-07-07,,,2005-2006,SPD,11.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,,Y,86,2005-05-16,,,0,11,1,0,10,9.09,0,0,0,0,11,0,0,0,0,0.0,0,0,0,0,0,,,,2014-03-12,,,,,,,,,,,,,,,,,,
33,33,MG 605 CH*,24,2005-07-11,,,2005-2006,SPD,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,Y,33,2005-04-18,,,0,2,0,0,2,0.0,0,0,0,0,2,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
